zip_code,state,national_district,national_wholesaler,wealth_district,wealth_wholesaler,fi_district,fi_wholesaler,wifi_district,wifi_wholesaler,structure_pattern,wholesalers_in_state,has_commercial_opportunity
01057,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01060,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01062,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01063,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01066,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01068,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01069,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01070,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01071,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01072,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01073,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01074,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01075,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01077,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01079,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01080,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01081,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01082,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01083,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01084,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01085,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01088,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01089,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01092,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01093,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01094,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01095,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01096,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01097,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01098,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01103,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01104,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01105,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01106,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01107,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01108,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01109,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01118,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01119,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01128,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01129,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01144,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01151,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01201,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01220,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01222,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01223,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01224,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01225,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01226,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01229,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01230,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01235,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01236,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01237,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01238,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,True
01240,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01242,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01243,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01244,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01245,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01247,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01253,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01254,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01255,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01256,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01257,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01258,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01259,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01260,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01262,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01264,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01266,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01267,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01270,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01301,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01330,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01331,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01337,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01338,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01339,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01340,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
01341,MA,N_13,R0013,WH_07,R0020,FI_04,R0028,Unserved,None,"three channels, three reps",3,False
