scenario,zip_code,state,channel,bundle,district,wholesaler,has_commercial_opportunity
51_total_13n_11wh_24fi_3wifi,01106,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01106,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01107,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01107,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01107,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01108,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01108,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01108,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01109,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01109,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01109,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01118,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01118,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01118,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01119,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01119,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01119,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01128,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01128,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01128,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01129,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01129,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01129,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01144,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01144,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01144,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01151,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01151,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01151,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01201,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01201,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01201,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01220,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01220,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01220,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01222,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01222,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01222,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01223,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01223,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01223,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01224,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01224,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01224,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01225,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01225,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01225,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01226,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01226,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01226,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01229,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01229,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01229,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01230,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01230,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01230,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01235,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01235,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01235,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01236,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01236,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01236,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01237,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01237,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01237,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01238,MA,FI,FI,FI_04,R0028,True
51_total_13n_11wh_24fi_3wifi,01238,MA,National,N,N_13,R0013,True
51_total_13n_11wh_24fi_3wifi,01238,MA,Wealth,WH,WH_07,R0020,True
51_total_13n_11wh_24fi_3wifi,01240,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01240,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01240,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01242,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01242,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01242,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01243,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01243,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01243,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01244,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01244,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01244,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01245,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01245,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01245,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01247,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01247,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01247,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01253,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01253,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01253,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01254,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01254,MA,National,N,N_13,R0013,False
51_total_13n_11wh_24fi_3wifi,01254,MA,Wealth,WH,WH_07,R0020,False
51_total_13n_11wh_24fi_3wifi,01255,MA,FI,FI,FI_04,R0028,False
51_total_13n_11wh_24fi_3wifi,01255,MA,National,N,N_13,R0013,False
