scenario,zip_code,current_channel,state,model_channel,district,district_channels,rep
Group 1 Exact National (14 N),01945,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01945,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01945,WH,MA,WH,other,,
Group 1 Exact National (14 N),01945,FI,MA,FI,other,,
Group 1 Exact National (14 N),01949,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01949,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01949,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01949,WH,MA,WH,other,,
Group 1 Exact National (14 N),01949,FI,MA,FI,other,,
Group 1 Exact National (14 N),01950,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01950,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01950,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01950,WH,MA,WH,other,,
Group 1 Exact National (14 N),01950,FI,MA,FI,other,,
Group 1 Exact National (14 N),01960,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01960,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01960,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01960,WH,MA,WH,other,,
Group 1 Exact National (14 N),01960,FI,MA,FI,other,,
Group 1 Exact National (14 N),01970,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01970,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),01970,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),01970,WH,MA,WH,other,,
Group 1 Exact National (14 N),01970,FI,MA,FI,other,,
Group 1 Exact National (14 N),02021,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),02021,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),02021,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),02021,WH,MA,WH,other,,
Group 1 Exact National (14 N),02021,FI,MA,FI,other,,
Group 1 Exact National (14 N),02026,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),02026,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),02026,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),02026,WH,MA,WH,other,,
Group 1 Exact National (14 N),02026,FI,MA,FI,other,,
Group 1 Exact National (14 N),02038,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),02038,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),02038,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),02038,WH,MA,WH,other,,
Group 1 Exact National (14 N),02038,FI,MA,FI,other,,
Group 1 Exact National (14 N),02043,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),02043,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),02043,Wells FI,MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),02043,WH,MA,WH,other,,
Group 1 Exact National (14 N),02043,FI,MA,FI,other,,
Group 1 Exact National (14 N),02048,National (Chase),MA,N_FI,N_09,N,R0009
Group 1 Exact National (14 N),02048,Wells WH,MA,N_WH,N_09,N,R0009
Group 1 Exact National (14 N),02048,Wells FI,MA,N_FI,N_09,N,R0009
